team,A,B,C,D,E,F,G,H,I,J,K,L
Senegal,0.071,0.092,0.08,0.072,0.086,0.104,0.089,0.072,0.072,0.104,0.072,0.086
Japan,0.089,0.083,0.095,0.07,0.076,0.075,0.094,0.064,0.092,0.093,0.084,0.085
Portugal,0.0,0.0,0.175,0.0,0.115,0.163,0.065,0.117,0.121,0.024,0.111,0.109
Czechia,0.123,0.101,0.071,0.111,0.07,0.061,0.086,0.075,0.072,0.09,0.068,0.072
Canada,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peru,0.088,0.09,0.071,0.074,0.065,0.077,0.065,0.074,0.087,0.077,0.111,0.121
Ukraine,0.112,0.087,0.06,0.108,0.066,0.073,0.1,0.076,0.078,0.082,0.077,0.081
England,0.0,0.0,0.045,0.0,0.086,0.079,0.17,0.089,0.098,0.214,0.123,0.096
Saudi Arabia,0.072,0.078,0.092,0.097,0.088,0.109,0.08,0.077,0.071,0.086,0.067,0.083
Tunisia,0.08,0.085,0.063,0.09,0.067,0.078,0.084,0.088,0.103,0.105,0.082,0.075
Qatar,0.082,0.076,0.097,0.084,0.092,0.097,0.105,0.08,0.08,0.063,0.075,0.069
Switzerland,0.08,0.088,0.081,0.075,0.105,0.076,0.095,0.074,0.081,0.081,0.085,0.079
Nigeria,0.084,0.094,0.078,0.098,0.081,0.083,0.092,0.083,0.084,0.07,0.083,0.07
DR Congo,0.054,0.074,0.084,0.076,0.082,0.068,0.101,0.087,0.085,0.072,0.103,0.114
Colombia,0.075,0.083,0.078,0.104,0.052,0.08,0.071,0.102,0.079,0.055,0.116,0.105
Ecuador,0.085,0.087,0.066,0.092,0.074,0.094,0.066,0.094,0.092,0.063,0.093,0.094
Morocco,0.085,0.068,0.083,0.082,0.086,0.078,0.093,0.079,0.1,0.088,0.07,0.088
Netherlands,0.0,0.0,0.175,0.0,0.128,0.134,0.084,0.124,0.112,0.016,0.107,0.12
Uruguay,0.09,0.065,0.087,0.09,0.058,0.091,0.065,0.089,0.092,0.072,0.101,0.1
Denmark,0.085,0.073,0.082,0.09,0.096,0.089,0.087,0.088,0.075,0.086,0.073,0.076
Iran,0.084,0.083,0.092,0.082,0.094,0.078,0.078,0.072,0.08,0.106,0.082,0.069
Iraq,0.085,0.082,0.105,0.087,0.112,0.106,0.082,0.082,0.07,0.061,0.067,0.061
Poland,0.244,0.21,0.107,0.212,0.119,0.156,0.166,0.133,0.165,0.178,0.156,0.154
Paraguay,0.088,0.083,0.109,0.068,0.077,0.097,0.068,0.083,0.083,0.08,0.074,0.09
Algeria,0.067,0.088,0.063,0.072,0.091,0.097,0.083,0.086,0.082,0.085,0.103,0.083
Brazil,0.0,0.0,0.048,0.0,0.082,0.063,0.172,0.093,0.107,0.219,0.114,0.102
Türkiye,0.103,0.108,0.074,0.082,0.075,0.087,0.082,0.085,0.071,0.094,0.071,0.068
Spain,0.0,0.0,0.173,0.0,0.154,0.13,0.069,0.127,0.123,0.024,0.09,0.11
Venezuela,0.075,0.083,0.082,0.076,0.115,0.082,0.071,0.098,0.076,0.078,0.075,0.089
France,0.0,0.0,0.042,0.0,0.093,0.064,0.16,0.103,0.099,0.214,0.127,0.098
Costa Rica,0.0,0.0,0.274,0.0,0.165,0.104,0.088,0.075,0.092,0.075,0.073,0.054
Belgium,0.0,0.0,0.138,0.0,0.114,0.173,0.063,0.134,0.136,0.029,0.105,0.108
Argentina,0.0,0.0,0.051,0.0,0.107,0.061,0.149,0.089,0.087,0.23,0.105,0.121
Germany,0.082,0.098,0.087,0.077,0.095,0.073,0.075,0.11,0.076,0.083,0.084,0.06
Ivory Coast,0.059,0.068,0.079,0.077,0.087,0.076,0.084,0.098,0.096,0.088,0.091,0.097
Chile,0.086,0.088,0.071,0.089,0.084,0.079,0.058,0.084,0.076,0.079,0.095,0.111
Ghana,0.052,0.059,0.095,0.063,0.078,0.082,0.075,0.09,0.098,0.098,0.123,0.087
Serbia,0.117,0.102,0.056,0.094,0.069,0.073,0.084,0.086,0.079,0.09,0.069,0.081
Australia,0.075,0.106,0.063,0.075,0.081,0.075,0.079,0.095,0.088,0.091,0.088,0.084
Italy,0.115,0.098,0.224,0.107,0.193,0.206,0.154,0.2,0.19,0.121,0.19,0.202
South Korea,0.086,0.088,0.086,0.089,0.093,0.075,0.091,0.074,0.087,0.086,0.079,0.066
Cameroon,0.044,0.055,0.067,0.069,0.081,0.089,0.086,0.082,0.109,0.091,0.11,0.117
Egypt,0.095,0.085,0.068,0.091,0.083,0.078,0.095,0.107,0.082,0.076,0.067,0.073
Croatia,0.088,0.092,0.083,0.077,0.085,0.087,0.096,0.082,0.074,0.083,0.061,0.092
